date,temperature,wind_speed,solar_irradiance
20210213,17.61,1.64,2.9359
20210214,18.61,1.19,4.2492
20210215,19.3,2.1,2.1473
20210216,20.31,1.92,1.613
20210217,17.72,2.26,1.4182
20210218,18.28,1.55,2.2793
20210219,18.51,1.14,2.3345
20210220,18.68,1.39,3.6451
20210221,19.6,2.12,5.1103
20210222,20.74,1.58,2.8231
20210223,21.03,1.7,2.4427
20210224,21.27,3.09,1.7328
20210225,23.29,2.4,2.6868
20210226,23.45,1.97,3.8196
20210227,17.21,2.2,1.8089
20210228,19.34,1.41,1.8835
20210301,23.51,1.85,2.5452
20210302,17.59,2.78,2.4146
20210303,17.99,1.19,1.4664
20210304,19.84,1.78,1.6903
20210305,22.62,2.3,2.1655
20210306,23.86,1.18,4.9752
20210307,19.98,2.09,2.8188
20210308,21.53,1.84,2.0748
20210309,22.6,3.23,2.945
20210310,22.98,3.12,3.0677
20210311,23.15,2.72,2.0126
20210312,22.74,2.09,3.6751
20210313,22.35,1.93,2.2013
20210314,22.21,2.27,2.8757
20210315,23.31,3.2,1.9272
20210316,23.86,3.12,2.0141
20210317,24.35,3.04,1.7306
20210318,24.0,2.48,2.2586
20210319,24.92,2.88,1.8953
20210320,24.79,2.66,2.2133
20210321,18.26,3.7,1.3025
20210322,16.18,2.98,2.4005
20210323,16.93,1.21,4.2149
20210324,19.18,1.37,2.9282
20210325,21.83,2.65,1.8797
20210326,23.54,3.32,2.0942
20210327,24.4,2.83,2.0467
20210328,24.71,2.41,2.0083
20210329,27.07,1.75,3.9665
20210330,27.84,1.67,1.7122
20210331,28.3,1.74,4.2778
20210401,27.43,1.22,3.587
20210402,26.83,1.94,3.18
20210403,25.99,2.38,2.5526
20210404,24.69,1.91,2.4982
20210405,22.74,2.17,1.8622
20210406,24.39,2.34,3.1738
20210407,24.99,2.04,3.3473
20210408,25.15,2.21,4.2154
20210409,21.37,2.08,1.5022
20210410,23.09,2.28,1.5826
20210411,24.64,2.93,2.8963
20210412,25.3,2.6,3.395
20210413,25.29,2.66,2.2721
20210414,25.86,2.3,2.8879
20210415,25.73,2.44,2.6364
20210416,25.75,2.26,3.3698
20210417,23.2,1.97,1.1714
20210418,23.55,1.35,1.9337
20210419,26.29,1.79,3.5993
20210420,27.47,1.79,5.4242
20210421,27.81,2.46,5.3282
20210422,27.61,2.33,4.9097
20210423,27.58,2.96,3.7042
20210424,27.92,2.34,3.4836
20210425,26.91,2.06,2.7862
20210426,24.23,2.33,1.4167
20210427,23.08,1.42,2.6491
20210428,24.22,1.88,1.9618
20210429,22.59,1.93,6.0655
20210430,24.54,1.34,5.9146
20210501,24.76,1.28,4.5953
20210502,25.95,2.05,4.6913
20210503,27.47,2.79,6.0156
20210504,28.44,1.62,6.1327
20210505,25.21,1.54,1.7774
20210506,25.92,1.21,4.681
20210507,26.81,1.9,4.4263
20210508,27.17,1.47,4.1844
20210509,27.85,1.28,3.9823
20210510,29.23,2.1,6.5196
20210511,29.8,1.55,6.935
20210512,29.81,1.05,4.7441
20210513,29.05,1.89,5.2735
20210514,28.58,2.67,5.9966
20210515,29.7,2.36,5.6167
20210516,29.03,2.42,5.5034
20210517,28.97,2.32,4.5034
20210518,28.47,2.44,3.8782
